Age,Gender,Weight (kg),Daily Water Intake (liters),Physical Activity Level,Weather,Hydration Level
56,Male,96,4.23,Moderate,Hot,Good
60,Male,105,3.95,High,Normal,Good
36,Male,68,2.39,Moderate,Cold,Good
19,Female,74,3.13,Moderate,Hot,Good
38,Male,77,2.11,Low,Normal,Poor
39,Female,93,2.81,Low,Normal,Good
59,Male,104,3.89,Moderate,Hot,Good
64,Female,106,3.78,Moderate,Hot,Good
69,Female,108,2.91,Low,Normal,Poor
54,Female,95,2.93,Moderate,Cold,Good
26,Female,83,2.0,Low,Normal,Poor
42,Female,104,3.88,Low,Hot,Good
26,Female,97,3.84,Moderate,Hot,Good
45,Male,104,2.74,Low,Normal,Poor
25,Female,91,3.6,Moderate,Hot,Good
34,Female,80,3.78,High,Hot,Good
21,Female,46,1.81,Moderate,Normal,Good
59,Male,48,1.5,Moderate,Normal,Good
35,Female,88,4.28,Moderate,Hot,Good
53,Female,58,2.87,Moderate,Hot,Good
32,Male,106,3.21,Moderate,Cold,Good
33,Male,97,4.2,Moderate,Hot,Good
42,Male,104,4.86,High,Hot,Good
58,Female,73,2.19,Low,Normal,Good
18,Female,53,2.06,Moderate,Cold,Good
61,Male,52,1.5,Low,Hot,Poor
28,Female,52,2.99,Moderate,Hot,Good
50,Female,49,3.1,Moderate,Hot,Good
58,Male,72,3.42,Moderate,Hot,Good
25,Male,56,1.71,Moderate,Cold,Good
65,Female,67,2.38,Moderate,Normal,Good
54,Female,88,2.18,Low,Cold,Poor
44,Male,79,2.84,Moderate,Normal,Good
54,Female,91,4.34,High,Hot,Good
18,Male,49,1.53,Low,Normal,Good
31,Female,71,2.85,Low,Hot,Good
32,Male,86,2.52,Low,Normal,Poor
68,Female,107,4.01,Low,Hot,Good
66,Male,96,3.14,Moderate,Normal,Good
21,Male,67,2.11,Low,Normal,Good
32,Male,87,2.31,Low,Normal,Poor
30,Female,76,3.08,Low,Hot,Good
68,Female,72,3.99,High,Hot,Good
62,Male,106,3.51,Moderate,Normal,Good
