rank,errors,accuracy,Gender,Activity,Weather
1,751,0.8748333333333334,"Female=1,Male=0","Low=0,Moderate=1,High=2","Cold=0,Normal=1,Hot=2"
2,757,0.8738333333333334,"Female=0,Male=1","Low=0,Moderate=1,High=2","Cold=0,Normal=1,Hot=2"
3,864,0.856,"Female=0,Male=1","Low=0,Moderate=2,High=1","Cold=0,Normal=1,Hot=2"
4,873,0.8545,"Female=1,Male=0","Low=0,Moderate=2,High=1","Cold=0,Normal=1,Hot=2"
5,910,0.8483333333333334,"Female=0,Male=1","Low=0,Moderate=1,High=2","Cold=1,Normal=0,Hot=2"
6,925,0.8458333333333333,"Female=1,Male=0","Low=0,Moderate=1,High=2","Cold=1,Normal=0,Hot=2"
7,926,0.8456666666666667,"Female=0,Male=1","Low=0,Moderate=2,High=1","Cold=1,Normal=0,Hot=2"
8,930,0.845,"Female=1,Male=0","Low=0,Moderate=2,High=1","Cold=1,Normal=0,Hot=2"
9,1050,0.825,"Female=1,Male=0","Low=0,Moderate=1,High=2","Cold=0,Normal=2,Hot=1"
10,1058,0.8236666666666667,"Female=0,Male=1","Low=0,Moderate=1,High=2","Cold=0,Normal=2,Hot=1"
11,1165,0.8058333333333333,"Female=0,Male=1","Low=0,Moderate=2,High=1","Cold=0,Normal=2,Hot=1"
12,1172,0.8046666666666666,"Female=1,Male=0","Low=0,Moderate=2,High=1","Cold=0,Normal=2,Hot=1"
13,1309,0.7818333333333334,"Female=0,Male=1","Low=1,Moderate=0,High=2","Cold=0,Normal=2,Hot=1"
14,1311,0.7815,"Female=1,Male=0","Low=1,Moderate=0,High=2","Cold=0,Normal=2,Hot=1"
15,1398,0.767,"Female=0,Male=1","Low=0,Moderate=1,High=2","Cold=2,Normal=0,Hot=1"
16,1401,0.7665,"Female=0,Male=1","Low=0,Moderate=2,High=1","Cold=1,Normal=2,Hot=0"
17,1404,0.766,"Female=1,Male=0","Low=1,Moderate=0,High=2","Cold=0,Normal=1,Hot=2"
18,1407,0.7655,"Female=1,Male=0","Low=0,Moderate=1,High=2","Cold=2,Normal=0,Hot=1"
19,1408,0.7653333333333333,"Female=0,Male=1","Low=1,Moderate=0,High=2","Cold=0,Normal=1,Hot=2"
20,1412,0.7646666666666667,"Female=1,Male=0","Low=0,Moderate=2,High=1","Cold=2,Normal=0,Hot=1"
21,1414,0.7643333333333333,"Female=0,Male=1","Low=0,Moderate=2,High=1","Cold=2,Normal=0,Hot=1"
22,1422,0.763,"Female=1,Male=0","Low=0,Moderate=2,High=1","Cold=1,Normal=2,Hot=0"
23,1424,0.7626666666666667,"Female=0,Male=1","Low=0,Moderate=1,High=2","Cold=1,Normal=2,Hot=0"
24,1444,0.7593333333333333,"Female=1,Male=0","Low=0,Moderate=1,High=2","Cold=1,Normal=2,Hot=0"
25,1494,0.751,"Female=1,Male=0","Low=2,Moderate=0,High=1","Cold=0,Normal=2,Hot=1"
26,1495,0.7508333333333334,"Female=0,Male=1","Low=2,Moderate=0,High=1","Cold=0,Normal=2,Hot=1"
27,1575,0.7375,"Female=1,Male=0","Low=2,Moderate=0,High=1","Cold=1,Normal=2,Hot=0"
28,1580,0.7366666666666667,"Female=0,Male=1","Low=2,Moderate=0,High=1","Cold=1,Normal=2,Hot=0"
29,1582,0.7363333333333333,"Female=1,Male=0","Low=1,Moderate=0,High=2","Cold=1,Normal=0,Hot=2"
30,1587,0.7355,"Female=1,Male=0","Low=2,Moderate=0,High=1","Cold=0,Normal=1,Hot=2"
31,1588,0.7353333333333333,"Female=0,Male=1","Low=0,Moderate=2,High=1","Cold=2,Normal=1,Hot=0"
32,1589,0.7351666666666666,"Female=0,Male=1","Low=1,Moderate=0,High=2","Cold=1,Normal=0,Hot=2"
33,1594,0.7343333333333333,"Female=0,Male=1","Low=2,Moderate=0,High=1","Cold=0,Normal=1,Hot=2"
34,1605,0.7325,"Female=1,Male=0","Low=0,Moderate=2,High=1","Cold=2,Normal=1,Hot=0"
35,1611,0.7315,"Female=0,Male=1","Low=0,Moderate=1,High=2","Cold=2,Normal=1,Hot=0"
36,1627,0.7288333333333333,"Female=1,Male=0","Low=0,Moderate=1,High=2","Cold=2,Normal=1,Hot=0"
37,1628,0.7286666666666667,"Female=1,Male=0","Low=1,Moderate=2,High=0","Cold=2,Normal=0,Hot=1"
38,1636,0.7273333333333334,"Female=0,Male=1","Low=1,Moderate=0,High=2","Cold=1,Normal=2,Hot=0"
39,1637,0.7271666666666666,"Female=1,Male=0","Low=1,Moderate=0,High=2","Cold=1,Normal=2,Hot=0"
40,1638,0.727,"Female=0,Male=1","Low=1,Moderate=2,High=0","Cold=0,Normal=2,Hot=1"
41,1644,0.726,"Female=0,Male=1","Low=1,Moderate=2,High=0","Cold=2,Normal=0,Hot=1"
42,1648,0.7253333333333334,"Female=1,Male=0","Low=1,Moderate=2,High=0","Cold=0,Normal=2,Hot=1"
43,1660,0.7233333333333334,"Female=0,Male=1","Low=2,Moderate=1,High=0","Cold=2,Normal=1,Hot=0"
44,1674,0.721,"Female=1,Male=0","Low=2,Moderate=1,High=0","Cold=2,Normal=1,Hot=0"
45,1688,0.7186666666666667,"Female=1,Male=0","Low=2,Moderate=1,High=0","Cold=1,Normal=2,Hot=0"
46,1691,0.7181666666666666,"Female=1,Male=0","Low=1,Moderate=0,High=2","Cold=2,Normal=0,Hot=1"
47,1693,0.7178333333333333,"Female=0,Male=1","Low=1,Moderate=2,High=0","Cold=2,Normal=1,Hot=0"
48,1694,0.7176666666666667,"Female=0,Male=1","Low=1,Moderate=0,High=2","Cold=2,Normal=0,Hot=1"
49,1708,0.7153333333333334,"Female=0,Male=1","Low=2,Moderate=1,High=0","Cold=1,Normal=2,Hot=0"
50,1709,0.7151666666666666,"Female=1,Male=0","Low=2,Moderate=1,High=0","Cold=0,Normal=2,Hot=1"
51,1714,0.7143333333333334,"Female=1,Male=0","Low=1,Moderate=2,High=0","Cold=2,Normal=1,Hot=0"
52,1717,0.7138333333333333,"Female=0,Male=1","Low=2,Moderate=1,High=0","Cold=0,Normal=2,Hot=1"
53,1720,0.7133333333333334,"Female=1,Male=0","Low=2,Moderate=0,High=1","Cold=1,Normal=0,Hot=2"
54,1722,0.713,"Female=0,Male=1","Low=2,Moderate=0,High=1","Cold=1,Normal=0,Hot=2"
55,1728,0.712,"Female=1,Male=0","Low=1,Moderate=2,High=0","Cold=1,Normal=2,Hot=0"
56,1741,0.7098333333333333,"Female=0,Male=1","Low=1,Moderate=2,High=0","Cold=1,Normal=2,Hot=0"
57,1761,0.7065,"Female=0,Male=1","Low=2,Moderate=1,High=0","Cold=2,Normal=0,Hot=1"
58,1761,0.7065,"Female=1,Male=0","Low=2,Moderate=1,High=0","Cold=2,Normal=0,Hot=1"
59,1771,0.7048333333333333,"Female=0,Male=1","Low=1,Moderate=2,High=0","Cold=0,Normal=1,Hot=2"
60,1777,0.7038333333333333,"Female=1,Male=0","Low=2,Moderate=0,High=1","Cold=2,Normal=1,Hot=0"
61,1784,0.7026666666666667,"Female=0,Male=1","Low=2,Moderate=0,High=1","Cold=2,Normal=1,Hot=0"
62,1796,0.7006666666666667,"Female=1,Male=0","Low=1,Moderate=2,High=0","Cold=1,Normal=0,Hot=2"
63,1802,0.6996666666666667,"Female=1,Male=0","Low=1,Moderate=2,High=0","Cold=0,Normal=1,Hot=2"
64,1825,0.6958333333333333,"Female=0,Male=1","Low=1,Moderate=2,High=0","Cold=1,Normal=0,Hot=2"
65,1827,0.6955,"Female=0,Male=1","Low=2,Moderate=0,High=1","Cold=2,Normal=0,Hot=1"
66,1829,0.6951666666666667,"Female=1,Male=0","Low=2,Moderate=0,High=1","Cold=2,Normal=0,Hot=1"
67,1839,0.6935,"Female=1,Male=0","Low=1,Moderate=0,High=2","Cold=2,Normal=1,Hot=0"
68,1840,0.6933333333333334,"Female=0,Male=1","Low=1,Moderate=0,High=2","Cold=2,Normal=1,Hot=0"
