activation,fields,validation_errors,test_errors,codes
ReLU,Gender,2,1,"[-0.017, -0.015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
ReLU,Physical Activity Level,1,1,"[0.0, 0.0, -0.02, -0.016, 0.001, 0.0, 0.0, 0.0]"
ReLU,Weather,1,1,"[0.0, 0.0, 0.0, 0.0, 0.0, -0.017, -0.015, 0.0]"
ReLU,Gender + Physical Activity Level,1,9,"[0.064, 0.06, -0.083, -0.082, -0.015, 0.0, 0.0, 0.0]"
ReLU,Gender + Weather,0,4,"[-0.007, -0.007, 0.0, 0.0, 0.0, -0.012, -0.015, 0.0]"
ReLU,Physical Activity Level + Weather,2,9,"[0.0, 0.0, -0.115, -0.117, -0.054, 0.099, 0.092, 0.087]"
ReLU,Gender + Physical Activity Level + Weather,2,1,"[-0.02, -0.015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Tanh,Gender,0,0,"[-0.011, -0.015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Tanh,Physical Activity Level,0,1,"[0.0, 0.0, -0.011, -0.009, 0.0, 0.0, 0.0, 0.0]"
Tanh,Weather,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, -0.011, -0.009, -0.003]"
Tanh,Gender + Physical Activity Level,0,0,"[0.0, -0.002, -0.012, -0.012, -0.001, 0.0, 0.0, 0.0]"
Tanh,Gender + Weather,0,0,"[0.002, 0.0, 0.0, 0.0, 0.0, -0.013, -0.011, -0.006]"
Tanh,Physical Activity Level + Weather,0,0,"[0.0, 0.0, -0.016, -0.014, 0.002, 0.002, -0.002, 0.002]"
Tanh,Gender + Physical Activity Level + Weather,0,0,"[0.0, 0.002, -0.009, 0.0, 0.0, -0.013, 0.0, -0.002]"
