activation,epoch,train_loss,train_accuracy,validation_loss,validation_accuracy
ReLU,1,0.5795761890387865,0.7617442121825129,0.5780847693901631,0.7564469914040115
ReLU,2,0.49363043164772835,0.8234996628455833,0.49216670891938435,0.823697960559582
ReLU,3,0.42638589248185105,0.8224881995954147,0.4254946883459548,0.8235294117647058
ReLU,4,0.36872411299740554,0.8419869633625534,0.3684386314719679,0.8429125231754593
ReLU,5,0.31931528266143344,0.8671611598111936,0.31954904475899065,0.8681948424068768
ReLU,6,0.27695852732229337,0.8945830523713194,0.277550608454658,0.8934771616382943
ReLU,7,0.2415886920060193,0.9207687120701281,0.24255624367277356,0.9192651272543402
ReLU,8,0.21244049289260225,0.9395931670038211,0.2136897587721432,0.9371312995112085
ReLU,9,0.1889830181485255,0.9530793436727354,0.19040749851063574,0.9496039103320412
ReLU,10,0.16976046657211077,0.9624634749381884,0.17143734320043794,0.9585369964604753
ReLU,11,0.1538536716000319,0.9678017532029669,0.15558284786952883,0.9647733018708916
ReLU,12,0.1405718319688874,0.9703866037311756,0.14240454022577806,0.9666273386145289
ReLU,13,0.1296363007151127,0.9743762643290627,0.13146066634882647,0.9713467048710601
ReLU,14,0.12050824160580866,0.9772982692739941,0.12231329315731773,0.9743805831788303
ReLU,15,0.11268034135975333,0.9802202742189255,0.11451565715688858,0.9770773638968482
ReLU,16,0.10571046217019607,0.9803326590244998,0.1075537942418822,0.9774144614866004
ReLU,17,0.09972897171874749,0.9799955046077771,0.1017766766347143,0.9770773638968482
ReLU,18,0.09409783843058087,0.9833670487750056,0.09604454046044955,0.9799426934097422
ReLU,19,0.0892194729166879,0.9833108563722185,0.09109451569396718,0.9812910837687511
ReLU,20,0.08489456113205748,0.9839851652056641,0.08679486777598187,0.9823023765380078
ReLU,21,0.08094225319415137,0.9875252865812543,0.08283506850429057,0.9849991572560256
ReLU,22,0.07734453164130245,0.9873005169701057,0.07920135852368886,0.9856733524355301
ReLU,23,0.07400449570847918,0.9894358282760171,0.07575023848000566,0.9871902915894152
ReLU,24,0.0709609116847143,0.9896044054843786,0.07275861406953964,0.9878644867689196
ReLU,25,0.06807954855387184,0.9911216003596314,0.06978367621551636,0.9887072307433001
ReLU,26,0.06543169661494978,0.9920206788042256,0.0671937404853375,0.9895499747176808
ReLU,27,0.06291199865756336,0.9925826028320971,0.06465867038568941,0.9903927186920614
ReLU,28,0.060626292989984516,0.9942683749157114,0.06229089995186992,0.9910669138715659
ReLU,29,0.05841286637406923,0.99449314452686,0.060166976440687026,0.9912354626664419
ReLU,30,0.05639923166829636,0.9942121825129242,0.058172091762178454,0.9907298162818136
ReLU,31,0.05446611869256093,0.9945493369296471,0.056248461238506395,0.9908983650766897
ReLU,32,0.05276066950930036,0.9942683749157114,0.05454333929444668,0.9908983650766897
ReLU,33,0.050998064914445196,0.9965722634299843,0.05254295820709008,0.9937636945895837
ReLU,34,0.049425447012593604,0.9960665318049,0.05093254382059758,0.9934265969998315
ReLU,35,0.04802541301595877,0.9956731849853899,0.04957909732420226,0.992752401820327
ReLU,36,0.0467280267149364,0.9955046077770285,0.048275391056722294,0.9932580482049553
ReLU,37,0.04544587151246067,0.9965722634299843,0.046925365849284445,0.9946064385639642
ReLU,38,0.04436387870728746,0.9946055293324343,0.045902636415858414,0.9920782066408225
ReLU,39,0.0432592199281249,0.9949426837491571,0.0448321662625545,0.9917411090510703
ReLU,40,0.04216326171090946,0.9954484153742414,0.04366160162129714,0.9934265969998315
ReLU,41,0.04118209945041823,0.9962351090132614,0.04266147494752719,0.9941007921793359
ReLU,42,0.04034440619062373,0.9981456507080243,0.04154266311290433,0.9973032192819822
ReLU,43,0.03946586982958437,0.9975275342773657,0.04074641374375082,0.9962919265127255
ReLU,44,0.03860790469030686,0.9977523038885143,0.03987765018507588,0.9964604753076015
ReLU,45,0.03784871165401502,0.9982018431108114,0.039073584498276207,0.9969661216922299
ReLU,46,0.03720275614830375,0.99803326590245,0.03821063180664095,0.9976403168717344
ReLU,47,0.03637489961728632,0.9975275342773657,0.03775987269200416,0.9962919265127255
ReLU,48,0.03567442803749928,0.9975275342773657,0.037033941891178895,0.9964604753076015
ReLU,49,0.035030998233276996,0.9965160710271971,0.03650316318233444,0.9951120849485926
ReLU,50,0.034580509221434234,0.9946055293324343,0.03633745290256014,0.9912354626664419
ReLU,51,0.033887432164886384,0.9991009215554058,0.035043987372725204,0.9988201584358671
ReLU,52,0.03320696355756692,0.9984828051247472,0.03431269773922786,0.9974717680768582
ReLU,53,0.03263354614497138,0.9975275342773657,0.03397537203371286,0.9966290241024777
ReLU,54,0.03212552487979071,0.9982580355135986,0.03326101754934006,0.9978088656666105
ReLU,55,0.03147561022447416,0.99803326590245,0.032789177060113354,0.9966290241024777
ReLU,56,0.030971306253645928,0.9980894583052371,0.03229192492217832,0.9967975728973538
ReLU,57,0.030503055834453265,0.9973027646662171,0.03187436975379579,0.9961233777178493
ReLU,58,0.03000229774826746,0.9963474938188357,0.03146831938159401,0.9952806337434688
ReLU,59,0.029488372047637653,0.9980894583052371,0.030758657450482785,0.997134670487106
ReLU,60,0.029203375155565005,0.99921330636098,0.030217743878279864,0.9991572560256194
ReLU,61,0.028581547468764876,0.9981456507080243,0.029856552922001133,0.9966290241024777
ReLU,62,0.028143698756516875,0.9972465722634299,0.029540643112365834,0.9961233777178493
ReLU,63,0.027745379203215074,0.99842661272196,0.028927540377833478,0.9978088656666105
ReLU,64,0.027386672114304508,0.9987075747358957,0.028462516478950477,0.9984830608461149
ReLU,65,0.026934793336630923,0.9970779950550686,0.02844260209698456,0.9957862801280971
ReLU,66,0.026527895135620018,0.9984828051247472,0.02773135682228172,0.9976403168717344
ReLU,67,0.026138638683548453,0.9979208810968757,0.02751526697562101,0.9964604753076015
ReLU,68,0.025762699708228625,0.9984828051247472,0.02710030499699888,0.9969661216922299
ReLU,69,0.025426308892184665,0.9985389975275343,0.02662525456895693,0.9979774144614866
ReLU,70,0.025046430343839465,0.9983704203191729,0.0263842310282898,0.9974717680768582
ReLU,71,0.024718426780481403,0.99803326590245,0.026131625803442343,0.9969661216922299
ReLU,72,0.02438361357343634,0.9992694987637671,0.025761767225016035,0.9976403168717344
ReLU,73,0.02406362815492547,0.9977523038885143,0.02551121391745245,0.9966290241024777
ReLU,74,0.023733691210168398,0.9980894583052371,0.025144725724234908,0.9973032192819822
ReLU,75,0.023419841081610996,0.9982018431108114,0.024755308974726404,0.9973032192819822
ReLU,76,0.023209139462624883,0.9993818835693414,0.02434653214953253,0.9989887072307433
ReLU,77,0.02285423147640165,0.9976961114857271,0.024381280622922264,0.9962919265127255
ReLU,78,0.022571295672418144,0.9987075747358957,0.02379438561852644,0.9976403168717344
ReLU,79,0.02245649337022429,0.9971903798606429,0.02415730229739113,0.9957862801280971
ReLU,80,0.0219399963852011,0.9989323443470443,0.023283581439002995,0.9981459632563627
ReLU,81,0.021671788299818844,0.99881995954147,0.023087940979002287,0.9976403168717344
ReLU,82,0.02140372241181264,0.9984828051247472,0.022865549967078562,0.997134670487106
ReLU,83,0.021309380884757794,0.9985951899303214,0.0223887570436318,0.9974717680768582
ReLU,84,0.020893335466198797,0.9992694987637671,0.022136114362461327,0.9984830608461149
ReLU,85,0.020703050219496474,0.9974151494717914,0.022250608329379164,0.9962919265127255
ReLU,86,0.020484119090322966,0.99803326590245,0.02208393148634211,0.9969661216922299
ReLU,87,0.020171184052124886,0.9986513823331086,0.021430769736257738,0.9978088656666105
ReLU,88,0.019960325401626584,0.9994380759721285,0.02111944151967576,0.9986516096409911
ReLU,89,0.019902263214806617,0.9967970330411329,0.02180252716196736,0.995617731333221
ReLU,90,0.01951918122590446,0.9973589570690042,0.021116598941932865,0.9961233777178493
ReLU,91,0.019352481705509104,0.9988761519442572,0.02049652547536071,0.9978088656666105
ReLU,92,0.019074698495625108,0.9990447291526185,0.020561292560286836,0.9974717680768582
ReLU,93,0.018815624093518838,0.9977523038885143,0.02034362128262441,0.9967975728973538
ReLU,94,0.01863085790286073,0.9993256911665542,0.019945675586239133,0.9984830608461149
ReLU,95,0.018487856352716343,0.9991009215554058,0.019586568619639897,0.9986516096409911
ReLU,96,0.01835384364613391,0.9962351090132614,0.02013185043606248,0.9949435361537164
ReLU,97,0.018040707055952662,0.9967408406383457,0.019669129308740207,0.9957862801280971
ReLU,98,0.01780416756719213,0.9993256911665542,0.01928124058367603,0.9983145120512388
ReLU,99,0.01774830063632182,0.9995504607777028,0.01879353324268374,0.9986516096409911
ReLU,100,0.017568146693757142,0.9990447291526185,0.018678447159361313,0.9978088656666105
ReLU,101,0.017241535771406927,0.9992694987637671,0.018525160029799467,0.9983145120512388
ReLU,102,0.017122365075816378,0.9986513823331086,0.01845338528893531,0.9983145120512388
ReLU,103,0.01692368108454028,0.99763991908294,0.01850400485580753,0.9966290241024777
ReLU,104,0.01670409850043709,0.9988761519442572,0.01806777653525764,0.9974717680768582
ReLU,105,0.01659513673133648,0.9969656102494943,0.01824297820281791,0.9964604753076015
ReLU,106,0.01650895608557443,0.9996628455832771,0.017590750988517933,0.9991572560256194
ReLU,107,0.016323021689540425,0.9987637671386829,0.017483614067294834,0.9981459632563627
ReLU,108,0.01604857478448047,0.9991571139581928,0.01738062067847913,0.9984830608461149
ReLU,109,0.015925128779959014,0.9994380759721285,0.017212052648019713,0.9984830608461149
ReLU,110,0.015740751111323944,0.9991571139581928,0.017067330895555167,0.9981459632563627
ReLU,111,0.015645042706899755,0.9993256911665542,0.017210453624749406,0.9979774144614866
ReLU,112,0.01577981610748165,0.9975837266801528,0.01768886227206227,0.9966290241024777
ReLU,113,0.015393635902177938,0.9975837266801528,0.01714474587398586,0.9961233777178493
ReLU,114,0.015317878268496888,0.9997752303888514,0.016301805852582216,0.9989887072307433
ReLU,115,0.015056970877563403,0.9988761519442572,0.016354187854231192,0.9979774144614866
ReLU,116,0.01493649195280793,0.9983142279163857,0.016627254501195215,0.9962919265127255
ReLU,117,0.014824080115148982,0.9993256911665542,0.016298922267705025,0.9981459632563627
ReLU,118,0.014630105741529375,0.9983142279163857,0.0160727901689259,0.9974717680768582
ReLU,119,0.014497184030759426,0.9993818835693414,0.01579897918553889,0.9984830608461149
ReLU,120,0.014397313156502504,0.9993256911665542,0.015991755041369363,0.9981459632563627
ReLU,121,0.014220648860308773,0.9985389975275343,0.015709438387168165,0.9973032192819822
ReLU,122,0.01412806740199092,0.9982018431108114,0.01575934665018154,0.9969661216922299
ReLU,123,0.013964413606624879,0.9993256911665542,0.015451707664064132,0.9984830608461149
ReLU,124,0.014154823036549823,0.9995504607777028,0.01510330601283789,0.9998314512051238
ReLU,125,0.013737213955989102,0.9992694987637671,0.015028967701262568,0.9983145120512388
ReLU,126,0.013789674841532606,0.9980894583052371,0.015572666878297071,0.9969661216922299
ReLU,127,0.013600648597193746,0.9986513823331086,0.014902882642748475,0.9979774144614866
ReLU,128,0.01336777869032262,0.9993818835693414,0.01482698486137793,0.9984830608461149
ReLU,129,0.013512705486727769,0.9971341874578556,0.015442050570192312,0.9961233777178493
ReLU,130,0.013156430481351433,0.9989885367498315,0.014623280801968432,0.9979774144614866
ReLU,131,0.013132914697561848,0.9992694987637671,0.014289584252505231,0.9981459632563627
ReLU,132,0.013018962256036269,0.9997752303888514,0.014105457577205733,0.9989887072307433
ReLU,133,0.012844134029178993,0.9985951899303214,0.014321068872395636,0.9973032192819822
ReLU,134,0.01274175662668797,0.9994942683749157,0.014076139619415992,0.9984830608461149
ReLU,135,0.012664657059596861,0.9993256911665542,0.014081177871197444,0.9984830608461149
ReLU,136,0.01258643199343378,0.9997190379860643,0.013746895040399776,0.9989887072307433
ReLU,137,0.012430303236734642,0.9993818835693414,0.013795860126790628,0.9986516096409911
ReLU,138,0.01232842654742353,0.9993256911665542,0.01365942447012737,0.9984830608461149
ReLU,139,0.012251733328267456,0.9985389975275343,0.013783775968173732,0.9978088656666105
ReLU,140,0.012128623218816628,0.9994942683749157,0.013459012895015797,0.9988201584358671
ReLU,141,0.01212814174927539,0.9991009215554058,0.013368779914727926,0.9984830608461149
ReLU,142,0.011977849059756013,0.9992694987637671,0.013563737948910623,0.9981459632563627
ReLU,143,0.01186121955547954,0.9993256911665542,0.013210124309230903,0.9984830608461149
ReLU,144,0.011772037942772673,0.9993256911665542,0.013158632901081426,0.9983145120512388
ReLU,145,0.011684207550364187,0.9991571139581928,0.013123733764698988,0.9983145120512388
